node_id,feature_id,value
0,1,87
0,2,2011
0,3,0
1,1,87
1,2,2011
1,3,1
2,1,87
2,2,2011
2,3,2
3,1,86
3,2,2010
3,3,3
4,1,86
4,2,2015
4,3,1
5,1,86
5,2,2013
5,3,4
6,1,86
6,2,2014
6,3,0
7,1,88
7,2,2014
7,3,4
8,1,87
8,2,2014
8,3,1
9,1,87
9,2,2013
9,3,0
10,1,87
10,2,2013
10,3,1
11,1,91
11,2,2013
11,3,1
12,1,91
12,2,2013
12,3,1
13,1,91
13,2,2012
13,3,1
14,1,91
14,2,2013
14,3,1
15,1,91
15,2,2012
15,3,0
16,1,91
16,2,2014
16,3,2
17,1,90
17,2,2013
17,3,0
18,1,90
18,2,2014
18,3,5
19,1,90
19,2,2014
19,3,1
20,1,90
20,2,2015
20,3,1
21,1,90
21,2,2014
21,3,2
22,1,85
22,2,2006
22,3,3
23,1,89
23,2,2009
23,3,3
24,1,92
24,2,2011
24,3,3
25,1,96
25,2,2014
25,3,2
26,1,96
26,2,2014
26,3,2
27,1,95
27,2,2014
27,3,3
28,1,88
28,2,1999
28,3,1
29,1,89
29,2,2013
29,3,4
30,1,89
30,2,2015
30,3,4
31,1,89
31,2,2014
31,3,6
32,1,89
32,2,2013
32,3,4
33,1,89
33,2,2015
33,3,1
34,1,89
34,2,2014
34,3,1
35,1,89
35,2,2012
35,3,2
36,1,92
36,2,2011
36,3,3
37,1,92
37,2,2012
37,3,3
38,1,92
38,2,2010
38,3,3
39,1,87
39,2,2009
39,3,4
40,1,87
40,2,2010
40,3,5
41,1,87
41,2,2010
41,3,7
42,1,87
42,2,2009
42,3,4
43,1,91
43,2,2014
43,3,0
44,1,91
44,2,2014
44,3,1
45,1,91
45,2,2014
45,3,2
46,1,91
46,2,2014
46,3,2
47,1,91
47,2,2014
47,3,2
48,1,91
48,2,2014
48,3,5
49,1,91
49,2,2014
49,3,3
50,1,91
50,2,2015
50,3,1
51,1,91
51,2,2014
51,3,2
52,1,91
52,2,2011
52,3,8
53,1,91
53,2,2015
53,3,3
54,1,91
54,2,2015
54,3,3
55,1,91
55,2,2014
55,3,1
56,1,93
56,2,2012
56,3,1
57,1,93
57,2,2012
57,3,1
58,1,93
58,2,2013
58,3,0
59,1,93
59,2,2013
59,3,1
60,1,93
60,2,2014
60,3,2
61,1,93
61,2,2013
61,3,2
62,1,93
62,2,2014
62,3,9
63,1,93
63,2,2013
63,3,2
64,1,93
64,2,2014
64,3,5
65,1,93
65,2,2013
65,3,2
66,1,93
66,2,2013
66,3,2
67,1,93
67,2,2014
67,3,2
68,1,93
68,2,2012
68,3,1
69,1,93
69,2,2013
69,3,0
70,1,89
70,2,2014
70,3,4
71,1,89
71,2,2015
71,3,4
72,1,89
72,2,2016
72,3,10
73,1,89
73,2,2016
73,3,4
74,1,89
74,2,2014
74,3,4
75,1,89
75,2,2013
75,3,1
76,1,87
76,2,2011
76,3,11
77,1,87
77,2,2011
77,3,11
78,1,87
78,2,2012
78,3,3
79,1,92
79,2,2013
79,3,2
80,1,92
80,2,2013
80,3,2
81,1,92
81,2,2014
81,3,1
82,1,92
82,2,2014
82,3,3
83,1,92
83,2,2013
83,3,3
84,1,90
84,2,2012
84,3,0
85,1,90
85,2,2013
85,3,4
86,1,90
86,2,2013
86,3,4
87,1,90
87,2,2012
87,3,4
88,1,90
88,2,2011
88,3,4
89,1,90
89,2,2012
89,3,4
90,1,90
90,2,2012
90,3,1
91,1,91
91,2,2012
91,3,1
92,1,91
92,2,2012
92,3,4
93,1,91
93,2,2012
93,3,2
94,1,91
94,2,2013
94,3,2
95,1,91
95,2,2013
95,3,2
96,1,87
96,2,2006
96,3,12
97,1,92
97,2,2010
97,3,3
98,1,90
98,2,2013
98,3,0
99,1,90
99,2,2014
99,3,4
100,1,90
100,2,2012
100,3,4
101,1,90
101,2,2013
101,3,4
102,1,90
102,2,2014
102,3,4
103,1,86
103,2,2013
103,3,4
104,1,86
104,2,2011
104,3,4
105,1,86
105,2,2011
105,3,4
106,1,90
106,2,2013
106,3,1
107,1,90
107,2,2013
107,3,3
108,1,90
108,2,2009
108,3,4
109,1,90
109,2,2008
109,3,4
110,1,90
110,2,2008
110,3,4
111,1,87
111,2,2015
111,3,3
112,1,87
112,2,2014
112,3,3
113,1,87
113,2,2015
113,3,3
114,1,87
114,2,2013
114,3,5
115,1,87
115,2,2013
115,3,3
116,1,87
116,2,2015
116,3,3
117,1,87
117,2,2015
117,3,11
118,1,87
118,2,2014
118,3,2
119,1,87
119,2,2013
119,3,0
120,1,87
120,2,2013
120,3,13
121,1,87
121,2,2012
121,3,3
122,1,85
122,2,2006
122,3,4
123,1,88
123,2,2012
123,3,1
124,1,88
124,2,2010
124,3,12
125,1,88
125,2,2012
125,3,1
126,1,88
126,2,2012
126,3,11
127,1,88
127,2,2012
127,3,9
128,1,94
128,2,2012
128,3,5
129,1,94
129,2,2014
129,3,3
130,1,94
130,2,2015
130,3,3
131,1,94
131,2,2015
131,3,9
132,1,94
132,2,2015
132,3,3
133,1,94
133,2,2015
133,3,3
134,1,94
134,2,2016
134,3,3
135,1,94
135,2,2016
135,3,3
136,1,94
136,2,2014
136,3,8
137,1,94
137,2,2015
137,3,2
138,1,94
138,2,2014
138,3,8
139,1,90
139,2,2012
139,3,4
140,1,90
140,2,2011
140,3,1
141,1,90
141,2,2012
141,3,2
142,1,90
142,2,2010
142,3,1
143,1,90
143,2,2013
143,3,4
144,1,90
144,2,2012
144,3,1
145,1,84
145,2,2014
145,3,4
146,1,84
146,2,2014
146,3,4
147,1,84
147,2,2013
147,3,2
148,1,87
148,2,2014
148,3,3
149,1,93
149,2,2014
149,3,2
150,1,93
150,2,2014
150,3,0
151,1,93
151,2,2015
151,3,1
152,1,93
152,2,2013
152,3,1
153,1,93
153,2,2015
153,3,1
154,1,93
154,2,2013
154,3,2
155,1,93
155,2,2015
155,3,2
156,1,93
156,2,2015
156,3,1
157,1,92
157,2,2015
157,3,2
158,1,92
158,2,2015
158,3,1
159,1,88
159,2,2007
159,3,4
160,1,85
160,2,2009
160,3,7
161,1,89
161,2,2013
161,3,3
162,1,89
162,2,2011
162,3,2
163,1,89
163,2,2013
163,3,2
164,1,90
164,2,2013
164,3,2
165,1,90
165,2,2013
165,3,2
166,1,90
166,2,2013
166,3,1
167,1,90
167,2,2014
167,3,1
168,1,90
168,2,2014
168,3,2
169,1,90
169,2,2014
169,3,1
170,1,86
170,2,2006
170,3,4
171,1,88
171,2,2013
171,3,9
172,1,88
172,2,2014
172,3,2
173,1,88
173,2,2014
173,3,7
174,1,93
174,2,2010
174,3,4
175,1,93
175,2,2009
175,3,4
176,1,92
176,2,2010
176,3,4
177,1,92
177,2,2012
177,3,4
178,1,92
178,2,2010
178,3,4
179,1,92
179,2,2010
179,3,4
180,1,92
180,2,2010
180,3,4
181,1,94
181,2,2013
181,3,1
182,1,94
182,2,2014
182,3,2
183,1,94
183,2,2013
183,3,1
184,1,93
184,2,2015
184,3,0
185,1,93
185,2,2015
185,3,1
186,1,92
186,2,2010
186,3,3
187,1,92
187,2,2010
187,3,3
188,1,92
188,2,2010
188,3,3
189,1,92
189,2,2009
189,3,1
190,1,95
190,2,2008
190,3,4
191,1,88
191,2,2012
191,3,4
192,1,87
192,2,2014
192,3,4
193,1,85
193,2,2014
193,3,3
194,1,90
194,2,2007
194,3,11
195,1,92
195,2,2012
195,3,1
196,1,92
196,2,2013
196,3,1
197,1,92
197,2,2013
197,3,4
198,1,92
198,2,2012
198,3,4
199,1,92
199,2,2012
199,3,1
200,1,84
200,2,2014
200,3,10
201,1,84
201,2,2014
201,3,4
202,1,91
202,2,2011
202,3,4
203,1,84
203,2,2011
203,3,2
204,1,84
204,2,2012
204,3,7
205,1,83
205,2,2011
205,3,0
206,1,93
206,2,2009
206,3,5
207,1,93
207,2,2009
207,3,4
208,1,93
208,2,2009
208,3,4
209,1,89
209,2,2005
209,3,3
210,1,87
210,2,2011
210,3,4
211,1,87
211,2,2011
211,3,4
212,1,87
212,2,2010
212,3,4
213,1,88
213,2,2010
213,3,3
214,1,84
214,2,2012
214,3,6
215,1,87
215,2,2011
215,3,3
216,1,90
216,2,2007
216,3,4
217,1,90
217,2,2006
217,3,10
218,1,88
218,2,2010
218,3,4
219,1,88
219,2,2009
219,3,4
220,1,88
220,2,2009
220,3,4
221,1,84
221,2,2011
221,3,4
222,1,84
222,2,2015
222,3,4
223,1,90
223,2,2016
223,3,2
224,1,90
224,2,2016
224,3,4
225,1,90
225,2,2014
225,3,2
226,1,89
226,2,2014
226,3,1
227,1,89
227,2,2016
227,3,4
228,1,88
228,2,2012
228,3,7
229,1,88
229,2,2012
229,3,1
230,1,88
230,2,2012
230,3,1
231,1,88
231,2,2013
231,3,4
232,1,88
232,2,2013
232,3,1
233,1,88
233,2,2012
233,3,2
234,1,88
234,2,2012
234,3,1
235,1,88
235,2,2013
235,3,4
236,1,84
236,2,2011
236,3,1
237,1,90
237,2,2006
237,3,4
238,1,85
238,2,2013
238,3,6
239,1,85
239,2,2013
239,3,4
240,1,88
240,2,2012
240,3,1
241,1,88
241,2,2010
241,3,4
242,1,88
242,2,2012
242,3,4
243,1,88
243,2,2010
243,3,4
244,1,88
244,2,2012
244,3,4
245,1,85
245,2,2011
245,3,3
246,1,85
246,2,2010
246,3,3
247,1,85
247,2,2011
247,3,3
248,1,90
248,2,2012
248,3,9
249,1,90
249,2,2013
249,3,1
250,1,90
250,2,2012
250,3,0
251,1,90
251,2,2012
251,3,2
252,1,90
252,2,2012
252,3,2
253,1,90
253,2,2012
253,3,1
254,1,90
254,2,2010
254,3,4
255,1,90
255,2,2012
255,3,4
256,1,90
256,2,2011
256,3,4
257,1,90
257,2,2011
257,3,5
258,1,90
258,2,2012
258,3,6
259,1,90
259,2,2011
259,3,2
260,1,90
260,2,2011
260,3,1
261,1,88
261,2,2013
261,3,1
262,1,88
262,2,2013
262,3,4
263,1,88
263,2,2014
263,3,4
264,1,88
264,2,2013
264,3,4
265,1,88
265,2,2012
265,3,4
266,1,88
266,2,2012
266,3,0
267,1,88
267,2,2012
267,3,1
268,1,95
268,2,2013
268,3,3
269,1,94
269,2,2011
269,3,2
270,1,89
270,2,2012
270,3,0
271,1,89
271,2,2012
271,3,0
272,1,89
272,2,2012
272,3,1
273,1,89
273,2,2014
273,3,1
274,1,89
274,2,2013
274,3,0
275,1,89
275,2,2010
275,3,1
276,1,89
276,2,2014
276,3,1
277,1,89
277,2,2012
277,3,4
278,1,89
278,2,2011
278,3,4
279,1,89
279,2,2012
279,3,4
280,1,89
280,2,2013
280,3,4
281,1,89
281,2,2012
281,3,4
282,1,89
282,2,2012
282,3,4
283,1,89
283,2,2013
283,3,4
284,1,89
284,2,2014
284,3,4
285,1,89
285,2,2014
285,3,4
286,1,90
286,2,2010
286,3,4
287,1,90
287,2,2009
287,3,4
288,1,90
288,2,2010
288,3,4
289,1,89
289,2,2009
289,3,4
290,1,89
290,2,2009
290,3,4
291,1,90
291,2,2010
291,3,4
292,1,90
292,2,2011
292,3,4
293,1,90
293,2,2010
293,3,4
294,1,90
294,2,2012
294,3,4
295,1,90
295,2,2010
295,3,4
296,1,86
296,2,2014
296,3,7
297,1,84
297,2,2014
297,3,2
298,1,84
298,2,2010
298,3,7
299,1,87
299,2,2013
299,3,0
300,1,87
300,2,2011
300,3,4
301,1,86
301,2,2014
301,3,5
302,1,88
302,2,2013
302,3,4
303,1,91
303,2,2011
303,3,3
304,1,91
304,2,2009
304,3,4
305,1,86
305,2,2010
305,3,1
306,1,86
306,2,2012
306,3,11
307,1,86
307,2,2005
307,3,3
308,1,86
308,2,2004
308,3,3
309,1,85
309,2,2004
309,3,3
310,1,91
310,2,2014
310,3,2
311,1,91
311,2,2013
311,3,1
312,1,91
312,2,2015
312,3,3
313,1,91
313,2,2014
313,3,0
314,1,92
314,2,2009
314,3,4
315,1,92
315,2,2010
315,3,4
316,1,92
316,2,2011
316,3,4
317,1,92
317,2,2009
317,3,4
318,1,88
318,2,2012
318,3,4
319,1,88
319,2,2012
319,3,4
320,1,88
320,2,2015
320,3,4
321,1,88
321,2,2015
321,3,1
322,1,88
322,2,2014
322,3,3
323,1,95
323,2,2009
323,3,4
324,1,94
324,2,2009
324,3,4
325,1,94
325,2,2008
325,3,4
326,1,94
326,2,2006
326,3,4
327,1,88
327,2,2008
327,3,4
328,1,89
328,2,2005
328,3,10
329,1,86
329,2,2010
329,3,3
330,1,90
330,2,2011
330,3,2
331,1,90
331,2,2013
331,3,4
332,1,90
332,2,2013
332,3,2
333,1,90
333,2,2014
333,3,2
334,1,88
334,2,2009
334,3,12
335,1,88
335,2,2011
335,3,3
336,1,88
336,2,2010
336,3,3
337,1,86
337,2,2014
337,3,4
338,1,86
338,2,2013
338,3,6
339,1,86
339,2,2013
339,3,5
340,1,86
340,2,2014
340,3,2
341,1,86
341,2,2012
341,3,2
342,1,86
342,2,2011
342,3,4
343,1,86
343,2,2014
343,3,0
344,1,87
344,2,2007
344,3,4
345,1,92
345,2,2013
345,3,0
346,1,92
346,2,2015
346,3,3
347,1,92
347,2,2015
347,3,7
348,1,92
348,2,2014
348,3,4
349,1,92
349,2,2012
349,3,4
350,1,84
350,2,2012
350,3,2
351,1,83
351,2,2013
351,3,2
352,1,86
352,2,2012
352,3,1
353,1,86
353,2,2013
353,3,11
354,1,86
354,2,2011
354,3,0
355,1,86
355,2,2013
355,3,0
356,1,88
356,2,2014
356,3,3
357,1,88
357,2,2012
357,3,4
358,1,88
358,2,2014
358,3,1
359,1,88
359,2,2014
359,3,9
360,1,88
360,2,2014
360,3,3
361,1,88
361,2,2014
361,3,6
362,1,88
362,2,2015
362,3,2
363,1,88
363,2,2015
363,3,6
364,1,87
364,2,2008
364,3,3
365,1,87
365,2,2009
365,3,5
366,1,88
366,2,2014
366,3,6
367,1,88
367,2,2014
367,3,9
368,1,88
368,2,2013
368,3,4
369,1,88
369,2,2014
369,3,9
370,1,92
370,2,2010
370,3,4
371,1,92
371,2,2012
371,3,4
372,1,92
372,2,2010
372,3,4
373,1,89
373,2,2015
373,3,3
374,1,89
374,2,2013
374,3,1
375,1,89
375,2,2015
375,3,3
376,1,89
376,2,2012
376,3,3
377,1,86
377,2,2008
377,3,4
378,1,93
378,2,2005
378,3,4
379,1,92
379,2,2005
379,3,4
380,1,92
380,2,2005
380,3,4
381,1,91
381,2,2012
381,3,2
382,1,91
382,2,2012
382,3,1
383,1,91
383,2,2012
383,3,3
384,1,91
384,2,2012
384,3,3
385,1,88
385,2,2011
385,3,4
386,1,88
386,2,2012
386,3,0
387,1,88
387,2,2011
387,3,4
388,1,88
388,2,2013
388,3,1
389,1,92
389,2,2008
389,3,3
390,1,91
390,2,2009
390,3,8
391,1,91
391,2,2008
391,3,3
392,1,87
392,2,2014
392,3,11
393,1,87
393,2,2013
393,3,11
394,1,87
394,2,2011
394,3,1
395,1,87
395,2,2013
395,3,2
396,1,90
396,2,2009
396,3,4
397,1,88
397,2,2012
397,3,4
398,1,88
398,2,2011
398,3,10
399,1,88
399,2,2011
399,3,4
400,1,88
400,2,2015
400,3,4
401,1,88
401,2,2013
401,3,4
402,1,88
402,2,2015
402,3,4
403,1,88
403,2,2015
403,3,4
404,1,88
404,2,2014
404,3,4
405,1,88
405,2,2014
405,3,1
406,1,90
406,2,2013
406,3,2
407,1,90
407,2,2013
407,3,4
408,1,90
408,2,2012
408,3,4
409,1,90
409,2,2012
409,3,5
410,1,90
410,2,2011
410,3,12
411,1,90
411,2,2014
411,3,4
412,1,90
412,2,2012
412,3,2
413,1,90
413,2,2013
413,3,5
414,1,86
414,2,2013
414,3,11
415,1,86
415,2,2011
415,3,0
416,1,86
416,2,2013
416,3,0
417,1,86
417,2,2011
417,3,0
418,1,90
418,2,2014
418,3,2
419,1,90
419,2,2012
419,3,2
420,1,90
420,2,2012
420,3,5
421,1,90
421,2,2014
421,3,5
422,1,90
422,2,2015
422,3,5
423,1,90
423,2,2013
423,3,1
424,1,90
424,2,2013
424,3,3
425,1,92
425,2,2014
425,3,3
426,1,92
426,2,2014
426,3,5
427,1,92
427,2,2014
427,3,1
428,1,92
428,2,2014
428,3,1
429,1,92
429,2,2013
429,3,4
430,1,92
430,2,2014
430,3,3
431,1,92
431,2,2013
431,3,2
432,1,92
432,2,2010
432,3,1
433,1,92
433,2,2014
433,3,2
434,1,92
434,2,2014
434,3,6
435,1,92
435,2,2014
435,3,5
436,1,92
436,2,2014
436,3,1
437,1,92
437,2,2015
437,3,3
438,1,92
438,2,2014
438,3,4
439,1,87
439,2,2012
439,3,2
440,1,87
440,2,2011
440,3,0
441,1,87
441,2,2013
441,3,4
442,1,87
442,2,2013
442,3,1
443,1,87
443,2,2012
443,3,1
444,1,87
444,2,2014
444,3,4
445,1,87
445,2,2015
445,3,2
446,1,87
446,2,2013
446,3,1
447,1,87
447,2,2013
447,3,4
448,1,87
448,2,2014
448,3,2
449,1,87
449,2,2015
449,3,1
450,1,87
450,2,2014
450,3,6
451,1,88
451,2,2015
451,3,4
452,1,88
452,2,2015
452,3,4
453,1,88
453,2,2015
453,3,9
454,1,88
454,2,2013
454,3,0
455,1,88
455,2,2014
455,3,4
456,1,88
456,2,2013
456,3,4
457,1,89
457,2,2007
457,3,4
458,1,89
458,2,2008
458,3,4
459,1,89
459,2,2006
459,3,3
460,1,88
460,2,2007
460,3,3
461,1,90
461,2,2012
461,3,1
462,1,90
462,2,2014
462,3,2
463,1,90
463,2,2015
463,3,3
464,1,90
464,2,2013
464,3,2
465,1,90
465,2,2012
465,3,2
466,1,90
466,2,2014
466,3,2
467,1,90
467,2,2014
467,3,2
468,1,91
468,2,2007
468,3,4
469,1,88
469,2,2015
469,3,6
470,1,88
470,2,2013
470,3,4
471,1,88
471,2,2013
471,3,4
472,1,88
472,2,2013
472,3,4
473,1,88
473,2,2014
473,3,4
474,1,88
474,2,2013
474,3,4
475,1,88
475,2,2016
475,3,4
476,1,89
476,2,2015
476,3,1
477,1,89
477,2,2013
477,3,4
478,1,89
478,2,2014
478,3,4
479,1,89
479,2,2014
479,3,1
480,1,89
480,2,2014
480,3,4
481,1,89
481,2,2012
481,3,1
482,1,89
482,2,2015
482,3,1
483,1,88
483,2,2016
483,3,4
484,1,85
484,2,2010
484,3,3
485,1,91
485,2,2014
485,3,4
486,1,91
486,2,2014
486,3,9
487,1,91
487,2,2012
487,3,4
488,1,91
488,2,2014
488,3,1
489,1,91
489,2,2014
489,3,4
490,1,91
490,2,2013
490,3,4
491,1,91
491,2,2013
491,3,12
492,1,91
492,2,2014
492,3,1
493,1,91
493,2,2011
493,3,2
494,1,91
494,2,2013
494,3,4
495,1,91
495,2,2014
495,3,2
496,1,98
496,2,2014
496,3,2
497,1,97
497,2,2013
497,3,2
498,1,97
498,2,2014
498,3,2
499,1,96
499,2,2013
499,3,1
500,1,96
500,2,2014
500,3,2
501,1,96
501,2,2013
501,3,2
502,1,96
502,2,2014
502,3,2
503,1,96
503,2,2014
503,3,2
504,1,96
504,2,2014
504,3,2
505,1,96
505,2,2013
505,3,1
506,1,95
506,2,2013
506,3,2
507,1,95
507,2,2014
507,3,2
508,1,95
508,2,2013
508,3,1
509,1,95
509,2,2014
509,3,2
510,1,95
510,2,2014
510,3,2
511,1,95
511,2,2014
511,3,2
512,1,95
512,2,2014
512,3,1
513,1,82
513,2,2010
513,3,1
514,1,85
514,2,2013
514,3,1
515,1,85
515,2,2013
515,3,11
516,1,94
516,2,2014
516,3,8
517,1,94
517,2,2015
517,3,9
518,1,94
518,2,2015
518,3,2
519,1,94
519,2,2012
519,3,0
520,1,94
520,2,2015
520,3,3
521,1,94
521,2,2014
521,3,3
522,1,94
522,2,2015
522,3,2
523,1,94
523,2,2015
523,3,2
524,1,91
524,2,2012
524,3,0
525,1,91
525,2,2013
525,3,3
526,1,91
526,2,2014
526,3,3
527,1,91
527,2,2015
527,3,13
528,1,91
528,2,2013
528,3,1
529,1,91
529,2,2013
529,3,2
530,1,91
530,2,2013
530,3,7
531,1,91
531,2,2014
531,3,1
532,1,91
532,2,2013
532,3,1
533,1,91
533,2,2013
533,3,5
534,1,91
534,2,2015
534,3,1
535,1,91
535,2,2015
535,3,3
536,1,87
536,2,2013
536,3,3
537,1,87
537,2,2014
537,3,2
538,1,91
538,2,1997
538,3,4
539,1,90
539,2,1998
539,3,4
540,1,90
540,2,1997
540,3,4
541,1,90
541,2,1999
541,3,10
542,1,90
542,2,1998
542,3,4
543,1,90
543,2,1999
543,3,4
544,1,90
544,2,1997
544,3,4
545,1,90
545,2,1999
545,3,4
546,1,89
546,2,1998
546,3,4
547,1,89
547,2,1997
547,3,4
548,1,89
548,2,1997
548,3,4
549,1,85
549,2,2009
549,3,1
550,1,87
550,2,2014
550,3,1
551,1,87
551,2,2013
551,3,1
552,1,87
552,2,2013
552,3,2
553,1,87
553,2,2013
553,3,3
554,1,87
554,2,2012
554,3,3
555,1,87
555,2,2013
555,3,1
556,1,87
556,2,2010
556,3,5
557,1,91
557,2,2013
557,3,2
558,1,91
558,2,2012
558,3,2
559,1,91
559,2,2013
559,3,5
560,1,91
560,2,2010
560,3,11
561,1,91
561,2,2012
561,3,2
562,1,86
562,2,2008
562,3,4
563,1,86
563,2,2009
563,3,5
564,1,86
564,2,2008
564,3,7
565,1,88
565,2,2007
565,3,4
566,1,88
566,2,2006
566,3,4
567,1,95
567,2,2009
567,3,4
568,1,95
568,2,2010
568,3,4
569,1,94
569,2,2010
569,3,4
570,1,94
570,2,2009
570,3,4
571,1,94
571,2,2009
571,3,4
572,1,94
572,2,2009
572,3,10
573,1,91
573,2,2012
573,3,4
574,1,91
574,2,2012
574,3,5
575,1,91
575,2,2010
575,3,0
576,1,91
576,2,2011
576,3,0
577,1,91
577,2,2012
577,3,1
578,1,91
578,2,2010
578,3,1
579,1,91
579,2,2012
579,3,0
580,1,91
580,2,2013
580,3,10
581,1,91
581,2,2013
581,3,4
582,1,91
582,2,2012
582,3,4
583,1,87
583,2,2013
583,3,3
584,1,86
584,2,2010
584,3,4
585,1,92
585,2,2015
585,3,1
586,1,92
586,2,2014
