node_id,target
0,19.0
1,22.0
2,69.0
3,50.0
4,26.0
5,46.0
6,24.0
7,22.0
8,26.0
9,85.0
10,25.0
11,64.0
12,35.0
13,46.0
14,35.0
15,95.0
16,44.0
17,60.0
18,28.0
19,30.0
20,25.0
21,36.0
22,28.0
23,40.0
24,52.0
25,68.0
26,68.0
27,48.0
28,25.0
29,30.0
30,20.0
31,30.0
32,42.0
33,24.0
34,27.0
35,54.0
36,50.0
37,29.0
38,65.0
39,45.0
40,18.0
41,15.0
42,28.0
43,65.0
44,48.0
45,75.0
46,55.0
47,55.0
48,36.0
49,55.0
50,49.0
51,45.0
52,50.0
53,50.0
54,50.0
55,38.0
56,60.0
57,42.0
58,75.0
59,54.0
60,50.0
61,85.0
62,35.0
63,46.0
64,25.0
65,48.0
66,45.0
67,50.0
68,48.0
69,53.0
70,38.0
71,50.0
72,26.0
73,25.0
74,41.0
75,36.0
76,25.0
77,25.0
78,20.0
79,75.0
80,48.0
81,37.0
82,50.0
83,70.0
84,80.0
85,30.0
86,13.0
87,35.0
88,42.0
89,30.0
90,29.0
91,50.0
92,20.0
93,38.0
94,23.0
95,32.0
96,70.0
97,105.0
98,125.0
99,17.0
100,34.0
101,39.0
102,35.0
103,18.0
104,36.0
105,25.0
106,35.0
107,40.0
108,72.0
109,58.0
110,39.0
111,18.0
112,25.0
113,20.0
114,20.0
115,40.0
116,29.0
117,27.0
118,17.0
119,65.0
120,32.0
121,38.0
122,30.0
123,42.0
124,48.0
125,42.0
126,34.0
127,60.0
128,38.0
129,100.0
130,95.0
131,52.0
132,35.0
133,85.0
134,32.0
135,32.0
136,120.0
137,58.0
138,85.0
139,15.0
140,40.0
141,45.0
142,38.0
143,15.0
144,56.0
145,40.0
146,20.0
147,38.0
148,35.0
149,52.0
150,115.0
151,60.0
152,60.0
153,58.0
154,65.0
155,49.0
156,65.0
157,42.0
158,36.0
159,10.0
160,26.0
161,40.0
162,45.0
163,32.0
164,42.0
165,98.0
166,35.0
167,38.0
168,42.0
169,38.0
170,18.0
171,40.0
172,22.0
173,15.0
174,45.0
175,50.0
176,50.0
177,30.0
178,32.0
179,40.0
180,39.0
181,75.0
182,28.0
183,70.0
184,35.0
185,100.0
186,60.0
187,54.0
188,48.0
189,100.0
190,60.0
191,18.0
192,24.0
193,18.0
194,65.0
195,48.0
196,30.0
197,20.0
198,40.0
199,30.0
200,10.0
201,18.0
202,33.0
203,42.0
204,13.0
205,55.0
206,36.0
207,36.0
208,22.0
209,30.0
210,26.0
211,15.0
212,24.0
213,50.0
214,15.0
215,45.0
216,28.0
217,40.0
218,20.0
219,25.0
220,45.0
221,28.0
222,21.0
223,24.0
224,35.0
225,60.0
226,34.0
227,24.0
228,25.0
229,30.0
230,85.0
231,10.0
232,48.0
233,40.0
234,30.0
235,12.0
236,20.0
237,18.0
238,12.0
239,15.0
240,15.0
241,28.0
242,11.0
243,40.0
244,13.0
245,28.0
246,50.0
247,14.0
248,55.0
249,14.0
250,60.0
251,65.0
252,45.0
253,40.0
254,50.0
255,25.0
256,30.0
257,33.0
258,22.0
259,45.0
260,38.0
261,32.0
262,18.0
263,9.0
264,12.0
265,35.0
266,35.0
267,44.0
268,32.0
269,43.0
270,70.0
271,22.0
272,35.0
273,24.0
274,55.0
275,24.0
276,25.0
277,55.0
278,30.0
279,29.0
280,30.0
281,35.0
